timestamp,value
1564927500000,545.2
1564927800000,429.28
1564928100000,443.68
1564928400000,409.96
1564928700000,411.76
1564929000000,420.52
1564929300000,422.52
1564929600000,369.4
1564929900000,409.36
1564930200000,340.76
1564930500000,368.56
1564930800000,423.48
1564931100000,393.96
1564931400000,359.76
1564931700000,369.64
1564932000000,358.88
1564932300000,360.72
1564932600000,345.32
1564932900000,315.52
1564933200000,298.48
1564933500000,308.48
1564933800000,243.96
1564934100000,251.28
1564934400000,412.84
1564934700000,351.36
1564935000000,261.72
1564935300000,314.36
1564935600000,246.16
1564935900000,246.36
1564936200000,284.88
1564936500000,233.56
1564936800000,219.72
1564937100000,233.76
1564937400000,197.0
1564937700000,180.56
1564938000000,299.64
1564938300000,281.32
1564938600000,203.8
1564938900000,286.36
1564939200000,236.52
1564939500000,231.52
1564939800000,307.44
1564940100000,218.52
1564940400000,198.08
1564940700000,252.44
1564941000000,188.96
1564941300000,176.28
1564941600000,290.72
1564941900000,238.24
1564942200000,180.44
1564942500000,234.8
1564942800000,196.8
1564943100000,180.0
1564943400000,229.8
1564943700000,194.52
1564944000000,176.52
1564944300000,199.72
1564944600000,207.92
1564944900000,140.76
1564945200000,299.64
1564945500000,233.4
1564945800000,204.12
1564946100000,255.12
1564946400000,255.88
1564946700000,185.36
1564947000000,230.64
1564947300000,198.68
1564947600000,178.36
1564947900000,241.16
1564948200000,175.44
1564948500000,169.0
1564948800000,320.12
1564949100000,249.04
1564949400000,248.36
1564949700000,304.76
1564950000000,255.4
1564950300000,210.8
1564950600000,271.08
1564950900000,234.6
1564951200000,219.6
1564951500000,283.44
1564951800000,233.4
1564952100000,220.32
1564952400000,356.76
1564952700000,292.72
1564953000000,286.52
1564953300000,363.0
1564953600000,298.12
1564953900000,292.24
1564954200000,373.64
1564954500000,326.76
1564954800000,349.4
1564955100000,359.36
1564955400000,325.04
1564955700000,352.52
1564956000000,527.92
1564956300000,450.96
1564956600000,403.28
1564956900000,437.12
1564957200000,422.56
1564957500000,478.24
1564957800000,560.04
1564958100000,487.16
1564958400000,519.16
1564958700000,560.0
1564959000000,529.16
1564959300000,515.56
1564959600000,567.32
1564959900000,538.08
1564960200000,537.76
1564960500000,559.48
1564960800000,483.04
1564961100000,448.44
1564961400000,532.8
1564961700000,488.88
1564962000000,505.6
1564962300000,569.96
1564962600000,531.72
1564962900000,552.92
1564963200000,682.04
1564963500000,605.76
1564963800000,643.28
1564964100000,635.36
1564964400000,630.92
1564964700000,585.72
1564965000000,655.84
1564965300000,611.32
1564965600000,631.84
1564965900000,694.36
1564966200000,684.32
1564966500000,713.08
1564966800000,842.2
1564967100000,869.24
1564967400000,873.72
1564967700000,875.08
1564968000000,825.96
1564968300000,810.08
1564968600000,866.6
1564968900000,879.28
1564969200000,915.48
1564969500000,946.44
1564969800000,900.96
1564970100000,872.48
1564970400000,1027.8
1564970700000,990.72
1564971000000,960.0
1564971300000,1010.32
1564971600000,960.68
1564971900000,956.6
1564972200000,1129.76
1564972500000,1029.36
1564972800000,1036.48
1564973100000,1065.24
1564973400000,967.92
1564973700000,1035.72
1564974000000,1157.68
1564974300000,1131.16
1564974600000,977.72
1564974900000,1034.28
1564975200000,1057.92
1564975500000,1022.36
1564975800000,975.2
1564976100000,974.32
1564976400000,984.84
1564976700000,949.68
